experiment,hardware_id,model_id,model_revision,device,dtype,num_threads,num_interop_threads,cpu_affinity,attention,use_cache,compile,quantization,context_length,batch_size,output_tokens,seed,ttft_seconds_count,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,ttft_seconds_p99,ttft_seconds_min,ttft_seconds_max,tpot_seconds_count,tpot_seconds_mean,tpot_seconds_p50,tpot_seconds_p95,tpot_seconds_p99,tpot_seconds_min,tpot_seconds_max,tps_count,tps_mean,tps_p50,tps_p95,tps_p99,tps_min,tps_max,end_to_end_seconds_count,end_to_end_seconds_mean,end_to_end_seconds_p50,end_to_end_seconds_p95,end_to_end_seconds_p99,end_to_end_seconds_min,end_to_end_seconds_max,peak_rss_bytes_max,peak_cuda_allocated_bytes_max,peak_cuda_reserved_bytes_max
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,1,64,4012,10,0.04189091408625245,0.04184490628540516,0.04288837800268083,0.04301295303273946,0.040468421299010515,0.043044096790254116,10,0.04339156936676729,0.0429627821662478,0.04543259674831042,0.04600737577984257,0.04207955526986292,0.04615107053772561,10,23.063900519584244,23.27627602166223,23.68116317259949,23.74784040626254,21.6679697425992,23.7645097146783,10,2.775559784192592,2.7494404814206064,2.9040904551045967,2.9402587198326366,2.69235452869907,2.9493007860146463,1619791872,764867072,786432000
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,128,64,4012,10,0.14019339624792337,0.14051297982223332,0.14131989555899055,0.14137829512823374,0.13762723095715046,0.14139289502054453,10,0.044137996753736856,0.04419541636496664,0.04448520578000517,0.04459123772790744,0.043666984745493485,0.04461774571488301,10,2900.0916311059564,2896.2282364454645,2924.3880096517105,2929.8986881542514,2868.8136961904693,2931.2763577798864,10,2.920887191733345,2.9249431733042,2.9430120266508313,2.949307882329449,2.8920127879828215,2.9508818462491035,1623437312,3060214272,4049600512
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,16,64,4012,10,0.041806998383253816,0.041784937027841806,0.042588991764932874,0.04273503603413701,0.040973523166030645,0.042771547101438046,10,0.043351602507016015,0.04345252276176498,0.04355226244873529,0.04355785806626377,0.042748031029034225,0.04355925697064589,10,369.0869819726739,368.2179895320872,372.7031657376008,373.9696288667922,367.3157237457523,374.2862446490901,10,2.772957956325263,2.7792757689021528,2.7856308176647873,2.785908413892612,2.7346582990139723,2.785977812949568,1622208512,1037543936,1231028224
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,2,64,4012,10,0.04164451793767512,0.041621583979576826,0.042331077298149465,0.04257198761217296,0.04101515794172883,0.042632215190678835,10,0.04477689567997697,0.043394307997669024,0.05121709406856327,0.05617351873859113,0.043055397569246236,0.05741262490609809,10,44.984596054244385,46.08899452515912,46.343869668600846,46.430200614932694,34.835543632974876,46.45178335151566,10,2.862588945776224,2.7752897969912738,3.268231359985656,3.580460847117938,2.7535052048042417,3.6585182189010084,1621356544,782940672,822083584
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,32,64,4012,10,0.044366421597078445,0.043929293751716614,0.04716456204187125,0.04883499236311764,0.043081754352897406,0.04925259994342923,10,0.04501558806274145,0.04485309856115944,0.045965553303840494,0.04598531965425031,0.044507020397023075,0.045990261241852765,10,710.9492597993964,713.4401386992481,718.1976157949812,718.8296790408377,695.7994831061944,718.9876948523018,10,2.88034846954979,2.8692845311015844,2.9392890063347297,2.940463379197754,2.8485548007301986,2.94075697241351,1622368256,1326721536,1633681408
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,4,64,4012,10,0.0416333622764796,0.04137482144869864,0.043732689786702396,0.04383556993678212,0.04031803412362933,0.04386128997430205,10,0.04596855090931058,0.04322020577577253,0.058795775323440984,0.05991451924600239,0.03875317055702446,0.06019420522664275,10,88.54402078327684,92.55263528798606,98.86204857165635,102.34629861178985,66.45157926646314,103.2173611218232,10,2.937652069563046,2.7639149208553135,3.7448711381060997,3.815016598342918,2.482548411935568,3.8325529634021223,1621671936,819087872,895483904
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,64,64,4012,10,0.06107793250121176,0.06116062100045383,0.06189290350303053,0.062171069364994766,0.06024919310584664,0.06224061083048582,10,0.04467716245128522,0.04440505854371521,0.045990184891510695,0.04617420880131365,0.044156417043672666,0.04622021477876438,10,1432.8075065824105,1441.2772987403769,1447.7501826264559,1449.0644044904484,1384.675521443151,1449.3929599564462,10,2.8757391669321803,2.858912221621722,2.958638131292537,2.970231702486053,2.8433222016319633,2.973130095284432,1622638592,1904552448,2438987776
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,128,8,64,4012,10,0.04118695547804237,0.04099316010251641,0.042822982254438105,0.043678163192234935,0.040401975158602,0.04389195842668414,10,0.04282900389387376,0.0430792738491344,0.04359855090955361,0.043736778298348544,0.04013917153878581,0.04377133514554728,10,186.88611134607285,185.70575408467937,194.13556185256886,198.2723563715213,182.76801412153898,199.3065550012594,10,2.739414200792089,2.754560816567391,2.787962366361171,2.7968809292651713,2.570044985972345,2.7991105699911714,1621872640,891382272,1029701632
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,2048,1,64,4012,10,0.042079923953860995,0.04197391704656184,0.04254009446594864,0.042568883788771925,0.041739971842616796,0.04257608111947775,10,0.04286808772234335,0.04277859209474945,0.04353143839195134,0.04355859195843102,0.042377291365511834,0.04356538035005095,10,23.329245137892336,23.37626795439966,23.577929961612753,23.593621237658425,22.95400595530048,23.597544056669843,10,2.742769450461492,2.7369368164800107,2.7845968397101384,2.786006515058689,2.71194533072412,2.7863589338958263,1640177664,1037543936,13713276928
gpu_rtx6000_ada_baseline,HKUSTQLAB-6000ADA::NVIDIA RTX 6000 Ada Generation,/data/main/hanxiao/SmolLM2-360M,,cuda,bfloat16,192,192,0-383,sdpa,True,False,none,2048,16,64,4012,10,0.3430421925149858,0.34326183050870895,0.34394362648017707,0.344123014966026,0.3419198631308973,0.3441678620874882,10,0.043247582858044004,0.04320080085687103,0.043549326518994,0.04355629151332236,0.04303653402963564,0.04355803276190445,10,369.96796097488334,370.3635048607002,371.3869432328719,371.6991092522745,367.32604724044114,371.7771507571252,10,3.067639912571758,3.0649432106874883,3.0866660280385982,3.0875937053980307,3.054389033932239,3.0878256247378886,1640275968,5373635072,13713276928
