experiment,hardware_id,model_id,model_revision,device,dtype,num_threads,num_interop_threads,cpu_affinity,attention,use_cache,compile,quantization,context_length,batch_size,output_tokens,seed,ttft_seconds_count,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,ttft_seconds_p99,ttft_seconds_min,ttft_seconds_max,tpot_seconds_count,tpot_seconds_mean,tpot_seconds_p50,tpot_seconds_p95,tpot_seconds_p99,tpot_seconds_min,tpot_seconds_max,tps_count,tps_mean,tps_p50,tps_p95,tps_p99,tps_min,tps_max,end_to_end_seconds_count,end_to_end_seconds_mean,end_to_end_seconds_p50,end_to_end_seconds_p95,end_to_end_seconds_p99,end_to_end_seconds_min,end_to_end_seconds_max,peak_rss_bytes_max,peak_cuda_allocated_bytes_max,peak_cuda_reserved_bytes_max
operator_study,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,eager,True,False,none,128,1,64,4012,10,0.2484920006711036,0.24740160699002445,0.259454955207184,0.26000450530089436,0.2368096918798983,0.260141892824322,10,0.13728825914200454,0.13722999013649922,0.14034316503287603,0.14062307246539388,0.13529405417659926,0.14069304932352333,10,7.285254582825952,7.287150011877528,7.390094092865475,7.3910650708183,7.107671664010227,7.391307815306506,10,8.89765232661739,8.886427087476477,9.0873565540649,9.097848750222475,8.764136764220893,9.100471799261868,2748608512,,
operator_study,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,eager,True,False,none,2048,1,64,4012,10,6.903130007814616,7.703455719863996,7.89268712119665,7.9494752060202885,4.436877214815468,7.963672227226198,10,0.16921816693678027,0.16830911636278625,0.17505647010938633,0.1779583840428423,0.1659755257978326,0.17868386252620627,10,5.911962028286828,5.941463991047625,6.02085497889502,6.024158738878215,5.596476289812334,6.024984678874015,10,17.56387452483177,18.289462425513193,18.81364096654579,18.91002822620794,14.89333534007892,18.93412504112348,4402900992,,
operator_study,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,eager,True,False,none,2048,16,64,4012,10,143.67837760541587,144.43062178464606,145.65188026563266,145.74012759056873,141.2580881533213,145.76218942180276,10,2.7446291406313694,2.7514595365713514,2.7675702738413026,2.771245625942118,2.719536430823306,2.7721644639673215,10,5.8298676260528906,5.81511820754153,5.882537362605943,5.883191984971334,5.771663336706205,5.883355640562681,10,316.59001346519216,317.92028579325415,319.79144128914925,319.8597921347991,312.5888832951896,319.8768798462115,15127928832,,
operator_study,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,eager,True,False,none,4096,4,64,4012,10,121.73614412839524,123.28083526645787,123.69664075581824,123.75426287722307,117.25580404419452,123.7686684075743,10,0.8180495883190325,0.9099826332189084,1.0086419686013537,1.017757575613417,0.33024035459975637,1.0200364773664328,10,5.820356494239394,4.396195101537616,12.034929115256752,12.096897898994719,3.921428388842863,12.112390094929212,10,173.2732681924943,180.71400126372464,185.99351721557323,186.21924248807596,138.06094638397917,186.27567380620167,14365966336,,
operator_study,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,eager,True,False,none,512,8,64,4012,10,2.457798508508131,2.0130773161072284,4.210089486674404,4.692223955807276,1.8360370751470327,4.812757573090494,10,0.1491153890355712,0.14910122680123009,0.14978212253523193,0.14992524609435348,0.1482914471111837,0.14996102698413388,10,53.65027892454153,53.65487170187696,53.88997343404554,53.93624908836947,53.34719400692296,53.94781800195046,10,11.852068017749115,11.42007289500907,13.615474608261138,14.11129944184795,11.200711803976446,14.235255650244653,4831174656,,
