experiment,hardware_id,model_id,model_revision,device,dtype,num_threads,num_interop_threads,cpu_affinity,attention,use_cache,compile,quantization,context_length,batch_size,output_tokens,seed,ttft_seconds_count,ttft_seconds_mean,ttft_seconds_p50,ttft_seconds_p95,ttft_seconds_p99,ttft_seconds_min,ttft_seconds_max,tpot_seconds_count,tpot_seconds_mean,tpot_seconds_p50,tpot_seconds_p95,tpot_seconds_p99,tpot_seconds_min,tpot_seconds_max,tps_count,tps_mean,tps_p50,tps_p95,tps_p99,tps_min,tps_max,end_to_end_seconds_count,end_to_end_seconds_mean,end_to_end_seconds_p50,end_to_end_seconds_p95,end_to_end_seconds_p99,end_to_end_seconds_min,end_to_end_seconds_max,peak_rss_bytes_max,peak_cuda_allocated_bytes_max,peak_cuda_reserved_bytes_max
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,128,1,64,4012,10,0.23452863087877632,0.22500145575031638,0.2747234190814197,0.2823607852868736,0.21131496597081423,0.28427012683823705,10,0.12290397209913603,0.12236780563132868,0.12548199833319007,0.12558906176341847,0.12129249568614694,0.12561582762097556,10,8.137433448757786,8.172084207070611,8.228599515520898,8.241346413008449,7.960780253085067,8.244533137380337,10,7.977478873124346,7.961156050441787,8.116919461893849,8.12347357725259,7.904482448939234,8.125112106092274,2744963072,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,128,16,64,4012,10,0.8598130202386528,0.8677388534415513,0.9484229204012081,0.9590551246842369,0.7933474639430642,0.9617131757549942,10,0.11613567548597026,0.11562204254155475,0.11780734880169529,0.11790427127328243,0.11458981068183978,0.11792850189117922,10,137.7867725864184,138.38253920129722,139.54336580718638,139.61144955871555,135.6754282757217,139.62847049659786,10,8.176360575854778,8.12678332766518,8.35988107295707,8.361316129881889,8.01250553689897,8.361674894113094,4348424192,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,128,2,64,4012,10,0.3062098662834615,0.2962324086111039,0.35904482256155457,0.3868389212852344,0.2885585715994239,0.39378744596615434,10,0.059883139152375475,0.05965647406299554,0.06165849696364373,0.06208997183930247,0.059009916348648925,0.06219784055821716,10,33.40629694495968,33.52531089338058,33.863113984894895,33.886709699707374,32.155457199965014,33.89260862841049,10,4.078847632883116,4.050590437371284,4.234647312574088,4.296730583421886,4.014212651178241,4.312251401133835,3107733504,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,128,4,64,4012,10,0.35154993589967487,0.3464299913030118,0.3742823343258351,0.3857315101381391,0.3386251456104219,0.38859380409121513,10,0.0690656935818316,0.06894142739474773,0.06990829492098696,0.06994038618147551,0.06817566443027721,0.06994840899659764,10,57.92110284494843,58.02200643851856,58.60247179501056,58.65806404374817,57.18500331000472,58.67196210593257,10,4.702688631555065,4.694242577767,4.773835880798288,4.79104203286115,4.6336920047178864,4.795343570876867,3548258304,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,128,8,64,4012,10,0.5342923262156546,0.5365967906545848,0.5761354421731084,0.5991467339079827,0.5060252510011196,0.6048995568417013,10,0.0866973189422713,0.086588629891002,0.08897536438298485,0.08950813509863875,0.08494366083796771,0.08964132777755222,10,92.30079680149943,92.39570342200312,94.10880082612695,94.16581688310302,89.24455045838067,94.18007089734704,10,5.996223419578746,5.9917048728093505,6.144014796591364,6.17950932092499,5.865987822879106,6.188382952008396,3964534784,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,2048,1,64,4012,10,1.4936041418928654,1.5299187384080142,1.582320340699516,1.602391042704694,1.2930786130018532,1.6074087182059884,10,0.1365057146228436,0.13606216822425643,0.13969775990117342,0.13986795535776764,0.13283836691536838,0.1399105042219162,10,7.327493439967005,7.349647565722949,7.485794238752256,7.519515329366051,7.147426174762907,7.5279456020195,10,10.093464163132012,10.089361794525757,10.344374394835905,10.360104101309553,9.767340369988233,10.364036527927965,3467411456,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,2048,16,64,4012,10,37.35418174848892,37.49643358308822,37.8381607666146,37.89123169413768,36.2698332183063,37.90449942601845,10,0.6873271257527882,0.6893919194597633,0.7029096219555607,0.7034440284089318,0.6572256188854457,0.7035776300222746,10,23.28781338437588,23.20886214623932,24.10996216417339,24.297800484424094,22.740916307264424,24.34476006448677,10,80.65579067091457,80.51267049880698,81.83696796260773,81.94035736225545,79.0252672531642,81.96620471216738,12706668544,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,2048,2,64,4012,10,2.0619567923247812,2.0535784917883575,2.3049953235080465,2.3392406767187643,1.892995523288846,2.3478020150214434,10,0.08589450147756864,0.0862445898561014,0.08731494607618226,0.08738555729071358,0.08368898671682155,0.08740321009434641,10,23.288777791155606,23.189860865500133,23.855630477556684,23.88953178745645,22.882454750130144,23.89800711493139,10,7.473310385411605,7.4412826504558325,7.674733694875613,7.683206623839214,7.288131550885737,7.685324856080115,4669820928,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,2048,4,64,4012,10,4.439995066309348,4.470263799885288,4.723893643659539,4.779079984002746,3.984812361188233,4.792876569088548,10,0.11272543139962685,0.11247379592959843,0.11891274032116467,0.12287379995054966,0.10749072197174268,0.12386406485789589,10,35.52721327341303,35.56385816273783,36.8204960853587,37.134110445028895,32.29346626553096,37.21251403494644,10,11.54169724448584,11.503841927042231,12.1289390796097,12.283309715338982,10.976550579071045,12.321902374271303,6472372224,,
cpu_epyc9654_baseline,HKUSTQLAB-6000ADA::x86_64,/data/main/hanxiao/SmolLM2-360M,,cpu,float32,96,1,0-95,sdpa,True,False,none,2048,8,64,4012,10,14.289683234412223,15.58148012845777,17.204017580719665,17.2343966035638,7.836366555187851,17.241991359274834,10,0.16155683604689935,0.16128657022786758,0.16409086488290792,0.16544195262020425,0.15965465989170802,0.16577972455452833,10,49.522869918743666,49.60115939784464,50.06108869056861,50.09873951167829,48.25680596042152,50.108152216955716,10,24.467763905366883,25.84318196401,27.362385748373345,27.397607269594445,17.994053113274276,27.40641264989972,9063374848,,
